Schema,Type Name,Type Category,Length,By Value,Type Modifier,Default Value
FH,FHPayrollCompletionTimeLogs,Composite,-1,False,-1,
FH,FHPrintFormatKeywords,Composite,-1,False,-1,
FH,FHPrintOrientations,Composite,-1,False,-1,
FH,FHPrintOrientations_Code_seq,Composite,-1,False,-1,
FH,FHProcessedReceiptRunDatas,Composite,-1,False,-1,
FH,FHProjectDatas,Composite,-1,False,-1,
FH,FHReceiptRunBankTransactionMappingDatas,Composite,-1,False,-1,
FH,FHReceiptRunJournalMappingDatas,Composite,-1,False,-1,
FH,FHReportConfigs,Composite,-1,False,-1,
FH,FHReportDataSources,Composite,-1,False,-1,
FH,FHReportFilterDatas,Composite,-1,False,-1,
FH,FHReportRelatedAccountBreakConfigurations,Composite,-1,False,-1,
FH,FHRevenueGLDistributionDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptBatchDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptGLDistributionDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptPaymentRecordDatas,Composite,-1,False,-1,
FH,FHRevenueRecordDatas,Composite,-1,False,-1,
FH,FHStateDatas,Composite,-1,False,-1,
FH,FHStateDatas_Code_seq,Composite,-1,False,-1,
FH,FHTaxForm1096ContactPersonData,Composite,-1,False,-1,
FH,FHTaxFormPrintTemplates,Composite,-1,False,-1,
FH,FHTaxFormYearEndPrintLogs,Composite,-1,False,-1,
FH,FHTaxFormYearEndPrintVendorLogs,Composite,-1,False,-1,
FH,FHUBRevenueCodeDatas,Composite,-1,False,-1,
FH,FHUbARFrontDeskPaymentDatas,Composite,-1,False,-1,
FH,FHUbARReceiptBatchDatas,Composite,-1,False,-1,
FH,FHUbARReceiptDatas,Composite,-1,False,-1,
FH,FHUbARReceiptPaymentDatas,Composite,-1,False,-1,
FH,FHUbARReceiptPaymentRecordDatas,Composite,-1,False,-1,
FH,FHUbProcessedReceiptRunDatas,Composite,-1,False,-1,
FH,FHUbProcessedReceiptRunlogs,Composite,-1,False,-1,
FH,FHVendorAttachmentFileDatas,Composite,-1,False,-1,
FH,FHVendorGLDistributionDatas,Composite,-1,False,-1,
FH,FHVendorPaymentAmountDatas,Composite,-1,False,-1,
FH,FHVendorPaymentRefreshLogs,Composite,-1,False,-1,
FH,FHVendorSetupDatas,Composite,-1,False,-1,
FH,FHVoucherPrintTemplates,Composite,-1,False,-1,
FH,FHYearEndDistributionDatas,Composite,-1,False,-1,
FH,FHYearEndRollDatas,Composite,-1,False,-1,
FH,FH_MigrationHistory,Composite,-1,False,-1,
FH,ReportRelatedAccountBreakAccountLineMappings,Composite,-1,False,-1,
FH,ReportRelatedAccountBreaks,Composite,-1,False,-1,
